Date,Vendor Name,Country,Product,Gross Bookings,Fees
1/1/2015,Vendor A,Country 1,Product 1,63.34,0.94
1/1/2015,Vendor A,Country 2,Product 2,39295.41,2169.53
1/1/2015,Vendor A,Country 3,Product 3,127.25,3.44
1/1/2015,Vendor A,Country 4,Product 1,4.85,0.11
1/1/2015,Vendor A,Country 5,Product 4,4734.94,171.13
1/1/2015,Vendor A,Country 6,Product 2,60.74,5.1
1/1/2015,Vendor A,Country 7,Product 5,-90.74,40.06
1/1/2015,Vendor A,Country 8,Product 2,1460.8,844.88
1/1/2015,Vendor B,Country 7,Product 6,381472.45,10681.23
1/1/2015,Vendor B,Country 6,Product 6,13765.36,385.44
1/1/2015,Vendor B,Country 9,Product 6,848.17,23.89
1/1/2015,Vendor B,Country 10,Product 6,30663.32,858.5
1/1/2015,Vendor C,Country 6,Product 7,31862.03,591.58
1/1/2015,Vendor A,Country 5,Product 3,19.34,0.41
1/1/2015,Vendor A,Country 7,Product 8,437.01,70.89
1/1/2015,Vendor A,Country 9,Product 9,4723.55,188.87
1/1/2015,Vendor A,Country 11,Product 4,26643.05,1721.69
1/1/2015,Vendor A,Country 12,Product 9,87295.49,8348.98
1/1/2015,Vendor A,Country 13,Product 9,107023.76,6491.44
1/1/2015,Vendor A,Country 14,Product 9,20604.89,1298.19
1/1/2015,Vendor A,Country 15,Product 4,1786.14,178.57
1/1/2015,Vendor A,Country 16,Product 9,28246.39,1951.54
1/1/2015,Vendor A,Country 17,Product 9,4212.07,149.53
1/1/2015,Vendor A,Country 17,Product 4,7629.83,245.99
1/1/2015,Vendor A,Country 18,Product 4,321351.22,20965.66
1/1/2015,Vendor A,Country 19,Product 2,148.5,17.5
1/1/2015,Vendor A,Country 20,Product 3,23.33,0.53
1/1/2015,Vendor A,Country 21,Product 10,26.11,2.19
1/1/2015,Vendor A,Country 22,Product 4,32.43,2.48
1/1/2015,Vendor A,Country 23,Product 4,64634.77,3458.54
1/1/2015,Vendor A,Country 24,Product 9,1235.21,105.92
1/1/2015,Vendor A,Country 3,Product 11,61351.15,3876.47
1/1/2015,Vendor A,Country 5,Product 2,13.09,1.11
1/1/2015,Vendor A,Country 25,Product 4,118451.81,2761.88
1/1/2015,Vendor A,Country 21,Product 8,56.66,0.59
1/1/2015,Vendor A,Country 26,Product 9,9981,306.84
1/1/2015,Vendor A,Country 27,Product 8,31.36,0.52
1/1/2015,Vendor A,Country 28,Product 2,28.26,2.38
1/1/2015,Vendor A,Country 21,Product 3,5.12,0.17
