"Top 171 songTitle",Count
the,112632
version,58679
of,44280
you,43117
a,41665
i,36642
in,36278
album,35671
me,31712
to,30992
love,27523
my,25451
on,20223
and,19444
it,17924
lp,17239
live,16950
for,16003
is,14588
no,14332
your,13866
de,13058
la,12232
remix,11960
mix,11554
digital,10990
remaster,10736
all,10442
"don't",10355
be,9883
time,9032
up,8936
one,8826
blues,8483
with,8315
feat,8169
do,7913
man,7569
down,7373
this,7370
song,7346
what,7168
from,7093
out,6990
"i'm",6945
we,6766
go,6476
get,6409
life,6394
night,6348
like,6273
el,6235
world,6215
that,6104
at,5979
day,5882
back,5771
2,5690
heart,5609
little,5485
original,5436
so,5411
baby,5366
way,5313
come,5296
are,5216
by,5112
good,5066
"it's",5002
when,4939
girl,4807
got,4784
take,4771
just,4682
know,4610
1,4557
new,4556
never,4494
remastered,4444
let,4416
home,4402
not,4396
away,4343
if,4340
"can't",4287
radio,4235
blue,4062
rock,3846
can,3812
want,3781
black,3745
part,3736
will,3721
que,3706
now,3703
over,3696
more,3683
again,3644
edit,3593
dance,3512
en,3500
have,3397
here,3377
o,3316
last,3314
dub,3277
mi,3256
how,3218
eyes,3160
long,3141
le,3136
mind,3108
intro,3101
make,3030
old,3024
"you're",2931
too,2910
big,2885
track,2843
dream,2817
sweet,2815
te,2814
boy,2802
un,2791
light,2790
music,2737
say,2729
only,2713
fire,2704
soul,2701
right,2698
e,2696
sun,2666
where,2658
there,2657
as,2651
die,2651
feel,2637
"ain't",2631
tu,2620
woman,2607
instrumental,2581
was,2487
am,2481
amor,2473
gone,2466
about,2461
city,2451
see,2448
"i'll",2446
she,2431
god,2430
op,2429
christmas,2402
two,2379
an,2372
gonna,2368
explicit,2364
ii,2348
give,2338
y,2324
da,2301
bad,2284
3,2278
high,2270
rain,2255
house,2241
featuring,2222
red,2220
dead,2213
keep,2203
