,id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
1,6.90016E+18,0,14103019,1005,0,e6409ff1,2148062c,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ba428f2d,6e1e2240,1,0,16208,320,50,1800,3,167,100077,23
2,6.90022E+18,0,14103019,1005,0,bb4524e7,d733bbc3,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,3691c9e7,04f5b394,1,0,20633,320,50,2374,3,39,-1,23
3,6.90044E+18,0,14103019,1005,1,2d7bacb1,945bfb4b,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4682cf52,575d0d2a,1,0,23919,320,50,2742,0,163,-1,17
4,6.90048E+18,0,14103019,1005,0,c1fcc9a1,422b8953,76b2941d,ecad2386,7801e8d9,07d7df22,a99f214a,1e2b74bf,ff065cf0,1,2,6392,320,50,547,3,47,100084,23
5,6.9005E+18,0,14103019,1005,0,7294ea0f,863fa89d,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,fdb7e77e,be87996b,1,2,17239,320,50,1973,3,39,100148,23
6,6.9006E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,685d1c4c,2347f47a,8ded1f7a,a99f214a,25934a34,1ccc7835,1,2,23737,320,50,2676,0,299,100176,221
7,6.90061E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,638ba2e1,f86ddde1,fce66524,1,0,22832,320,50,2647,2,39,100148,23
8,6.90067E+18,0,14103019,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,3b20faa7,24f6b932,1,0,19015,300,250,2162,2,39,-1,33
9,6.90071E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,e9739828,df32afa9,cef3e649,a99f214a,672ee246,9e3836ff,1,0,23741,320,50,2720,1,171,100168,71
10,6.90079E+18,0,14103019,1005,1,0a742914,510bd839,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4f7589dd,1f0bc64f,1,0,6557,320,50,571,2,39,-1,32
11,6.90108E+18,0,14103019,1005,0,29229f8e,a10eb148,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a5fe8329,f60c2fd3,1,0,23626,320,50,2707,3,937,100156,61
12,6.90111E+18,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,9eb2bc85,7abbbd5c,1,0,23866,320,50,2736,0,33,-1,246
13,6.90123E+16,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,f0d41ff1,2347f47a,0f2161f8,a99f214a,0ae13735,158e4944,1,0,24041,320,50,2756,3,299,100112,61
14,6.90169E+18,1,14103019,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,d82523d8,2203a096,1,0,22676,320,50,2616,0,35,-1,51
